Date,Underlying,C445,C450,C455,C460,C465,C470,C475,C480,C485,C490,C495,C500,C505,C510,C515,C520,P445,P450,P455,P460,P465,P470,P475,P480,P485,P490,P495,P500,P505,P510,P515,P520
2025-10-10,505.05,,,,,,,,,34.4,,24.0,20.03,16.47,14.86,11.81,10.71,,,,2.15,3.51,,4.21,5.72,6.71,,10.5,10.5,12.6,15.5,21.77,
2025-10-13,503.83,,,,,,40.48,,,,,,18.01,15.6,13.84,10.63,10.06,,,,,,,5.0,,,,,12.35,14.53,,19.6,
2025-10-14,505.18,,,,,,,,,,,,17.0,15.15,,,,,,2.0,,4.9,4.32,,5.2,,,,,13.65,17.0,20.9,
2025-10-15,499.41,,,,,,,,21.65,20.2,20.0,17.91,13.89,12.1,10.0,,,2.35,2.7,,,5.22,5.27,,,,10.57,16.1,,20.75,21.2,22.39,
2025-10-16,493.25,,,,,,33.39,,26.11,,17.66,17.3,12.6,10.58,8.7,7.3,5.8,,2.5,3.0,,,5.35,6.54,9.05,10.01,13.05,11.7,17.0,,,23.9,28.6
2025-10-17,495.15,,,,,,,26.8,,20.95,17.9,16.1,12.6,10.18,8.33,6.82,6.35,,2.4,3.07,3.15,3.98,5.1,6.8,11.0,9.29,12.15,13.45,17.09,,,,
2025-10-20,505.9,,,,47.55,,,32.5,28.96,25.1,23.19,19.02,16.5,13.94,11.0,8.79,7.6,0.97,1.15,1.33,1.72,2.2,3.01,3.8,4.51,6.6,7.2,9.2,11.2,13.2,16.41,18.25,
2025-10-21,489.5,,,37.41,,27.95,26.0,21.5,16.1,10.7,8.0,5.3,4.0,2.59,1.6,1.5,0.8,0.35,0.6,0.75,1.0,1.52,2.2,3.35,4.2,7.5,10.1,11.1,14.5,14.85,15.6,,
2025-10-22,487.14,,36.35,,,23.02,17.5,14.5,10.32,7.95,5.5,3.8,2.71,1.48,1.2,0.65,0.47,,0.78,,1.47,1.82,2.59,3.0,4.44,7.25,7.7,12.88,16.5,22.0,,,34.43
2025-10-23,488.05,47.02,,,,27.93,,,,9.7,5.4,3.9,2.0,1.25,0.78,0.7,0.35,,0.16,,0.55,0.98,1.24,1.68,2.79,3.95,6.0,8.7,12.43,,20.17,,
2025-10-24,485.41,,42.0,35.9,25.91,,17.0,12.15,8.8,5.6,3.2,1.8,0.66,0.5,0.35,0.2,0.2,0.2,,0.35,0.3,0.59,0.85,1.5,2.75,4.6,7.55,11.0,11.18,16.5,24.74,,
2025-10-27,486.91,,36.1,,,20.37,17.1,,9.3,5.9,2.7,1.46,0.72,0.26,0.2,0.09,0.1,0.05,0.05,,0.15,0.22,0.45,1.0,1.96,3.7,6.65,,,,,,
2025-10-28,485.77,,,,27.82,24.39,15.53,,8.2,4.6,2.4,1.15,0.45,0.25,0.12,0.05,0.05,0.22,,,0.06,,0.32,0.9,1.65,4.0,5.5,,15.3,,,,
2025-10-29,485.33,,,33.46,,,14.6,8.6,7.5,5.7,2.15,1.0,0.39,0.17,0.1,0.05,0.05,0.32,,,,0.27,0.34,0.6,1.99,3.7,4.57,,12.93,,,,
2025-10-30,489.72,,,,,28.29,23.35,18.45,11.26,7.15,2.5,0.92,0.3,0.15,0.05,0.1,0.2,,,0.15,0.33,0.04,0.06,0.11,0.31,1.0,2.34,5.3,10.75,,18.95,,
2025-10-31,491.88,44.9,,,,,19.04,17.59,11.52,8.63,2.82,0.15,0.03,0.05,0.16,,0.01,,0.24,,0.01,0.22,0.03,0.03,0.03,0.05,0.05,5.43,,,,,
